label,case_id,title,category,mode,overall_score,any_critical_failure,task_status,quality_status,source_pack_status,advisory_model_self_score,replay_before_status,replay_before_quality_status,replay_before_critical_failure_count,replay_before_quality_last_failure,user_intent_fit,direct_answer_usefulness,evidence_claim_traceability,source_quality_and_diversity,official_rumor_opinion_separation,uncertainty_and_conflict_handling,information_resolution,practical_next_steps,structure_and_readability
artifact-finalization-replay-20260515T133816Z,02-current-policy-regulatory,Current Policy Regulatory Source Relevance Rerun,current-policy-regulatory,replay,5.00,false,completed,passed,success,,completed,untrusted,0,"Research quality gate failed: final answer resolution dimension count 2 is below required minimum 3; include concrete chronology, actors, causality, limits, and consequences in the user-facing answer",5,5,5,5,5,5,5,5,5
artifact-finalization-replay-20260515T133816Z,03-comparative-product-technical-decision,Comparative Product Technical Decision Rerun,comparative-product-technical-decision,replay,5.00,false,completed,passed,success,,completed,untrusted,0,Research quality gate failed: source audit URL count 0 is below required minimum 7,5,5,5,5,5,5,5,5,5
